,ans
0,How long until I graduate?+
1,"There are many variables that impact your graduation timeline such as the number of classes you take each semester, enrollment in summer classes, having to repeat classes, missing prerequisites, etc. To determine a possible graduation timeline, consider the following: 
1. How many hours of degree requirements remain? 
Using your degree plan, you can add up the hours of all classes that remain to figure out this number. 2. How many hours will you take each semester? Remember that 18 is the maximum for fall/spring, and 15 is the max for summer. 
3. Can I complete all necessary prerequisites by taking ___ hours each semester? Using your flowchart, you can make a tentative plan for classes that you will take each semester until graduation to make sure you do not miss any prerequisites. 
4. Did I miss anything? Share your plans with your academic advisor to verify that you have made a reasonable plan to meet your graduation goal. "
2,I need to get readmitted to UTD after I was suspended. What steps do I need to take?+
3,"1. Create a readmission plan with an assistant director by making an appointment with Irene Marroquin (CS, SE, CE, EE) or Tanisha Edwards (BMEN, MECH). 
2. Locate an institution that offers the courses on your readmission plan and apply for admission. 
3. Confirm that the courses you have selected will transfer to UTD as intended by contacting your UTD academic advisor. A TCEP may be needed. 
4. Take courses off campus according to the plan. Make the required grades specified on readmission plan. 
5. Meet with an academic advisor to complete readmission paperwork. "
4,How do I take courses off campus and transfer them to UTD?+
5,"1. Talk to your UTD Academic Advisor about what classes you plan to take off campus. Transfer plans available here will assist you in course selection. 
2. Apply for admission to the institution where you wish to take classes and complete all necessary steps for enrollment as required by that institution. 
3. Send proof of enrollment (a receipt, class schedule, advising report, or unofficial transcript) to your UTD advisor if the course is a prerequisite to other classes you will take at UTD. This will allow you to register for classes at UTD in an upcoming term while prerequisites are in progress at another institution. 
4. Request an official transcript be sent to UTD upon completion of coursework. Information on how to request a transcript will be available on the institution’s website. 
5. You will receive an automated email in your UTD email account when your transfer credits are received by the UTD Registrar’s Office. Check your course history for accuracy."
6,How many hours can I take this semester? Can I get permission to take more?+
7,"
			18 hours is the max for fall and spring if you are in good academic standing. Freshmen are limited to 16 hours in their first semester. 15 hours is the maximum for summer. For permission to take more, you must already have a strong UTD GPA established and experience taking 14-17 hours per semester. To request permission, complete a max unit waiver form and submit it to your advisor (as of August 2020, you will need to contact your advisor for the form). If approved, your request will be submitted to the associate dean for final approval.
		"
8,How can Fast Track classes be used on my bachelor’s degree?+
9,"
			Fast Track classes may be used as guided/prescribed electives, free electives, and/or in some cases, substitutions for specific degree requirements (e.g. taking the graduate version of operating systems as a substitute for the undergraduate version)
		"
10,How do I register for classes?+
11,"
			Schedule Planner is your most user-friendly tool for registering for classes. Instructions on how to use schedule planner can be found here. Alternatively, you can also register, swap, and drop classes by clicking the Manage My Classes tile in Orion Student Center. From there review course options with a class search, taking note of the course number for the sections you want, then register for your selection in Add a Class.
		"
12,How do I register for classes?+
13,"
			Schedule Planner is your most user-friendly tool for registering for classes. Instructions on how to use schedule planner can be found here. Alternatively, you can also register, swap, and drop classes by clicking the Manage My Classes tile in Orion Student Center. From there review course options with a class search, taking note of the course number for the sections you want, then register for your selection in Add a Class.
		"
14,How long until I graduate?+
15,"
			There are many variables that impact your graduation timeline such as the number of classes you take each semester, enrollment in summer classes, having to repeat classes, missing prerequisites, etc. To determine a possible graduation timeline, consider the following: 
					1.	How many hours of degree requirements remain? 
					Using your degree plan, you can add up the hours of all classes that remain to figure out this number.
					2.	How many hours will you take each semester? Remember that 18 is the maximum for fall/spring, and 15 is the max for summer.  
					3.	Can I complete all necessary prerequisites by taking ___ hours each semester? Using your flowchart, you can make a tentative plan for classes that you will take each semester until graduation to make sure you do not miss any prerequisites. 
					4.	Did I miss anything? Share your plans with your academic advisor to verify that you have made a reasonable plan to meet your graduation goal.
		"
16,How do I take courses off campus and transfer them to UTD?+
17,"
			1.	Talk to your UTD Academic Advisor about what classes you plan to take off campus. Transfer plans available here will assist you in course selection. 
				2.	Apply for admission to the institution where you wish to take classes and complete all necessary steps for enrollment as required by that institution. 
				3.	Send proof of enrollment (a receipt, class schedule, advising report, or unofficial transcript) to your UTD advisor if the course is a prerequisite to other classes you will take at UTD. This will allow you to register for classes at UTD in an upcoming term while prerequisites are in progress at another institution. 
				4.	 Request an official transcript be sent to UTD upon completion of coursework. Information on how to request a transcript will be available on the institution’s website. 
				5.	You will receive an automated email in your UTD email account when your transfer credits are received by the UTD Registrar’s Office. Check your course history for accuracy.
		"
